,Year,Week,Density,Station_ID,Species,station_week
12,1986,19,21.44410293,E51,DAPHNIA (HYALODAPHNIA) GALEATA MENDOTAE,7
13,1986,19,21.44410293,E51,EUBOSMINA (EUBOSMINA) COREGONI,7
14,1986,19,85.77641173,E51,LEPTODIAPTOMUS MINUTUS,7
15,1986,19,1350.978485,E51,LEPTODIAPTOMUS SICILIS,7
16,1986,19,514.6584704,E51,DIACYCLOPS BICUSPIDATUS THOMASI,7
17,1986,19,21.44410293,E51,MESOCYCLOPS EDAX,7
18,1986,19,21.44410293,E51,TROPOCYCLOPS PRASINUS PRASINUS,7
16248,1986,19,600.4348821,E51,DAPHNIA (DAPHNIA) PULICARIA,7
5,1986,19,18.4964242,K45,BOSMINA (BOSMINA) LONGIROSTRIS,7
6,1986,19,18.4964242,K45,DAPHNIA (HYALODAPHNIA) GALEATA MENDOTAE,7
7,1986,19,18.4964242,K45,EUBOSMINA (EUBOSMINA) COREGONI,7
8,1986,19,92.48212099,K45,LEPTODIAPTOMUS MINUTUS,7
9,1986,19,906.3247857,K45,LEPTODIAPTOMUS SICILIS,7
10,1986,19,277.446363,K45,DIACYCLOPS BICUSPIDATUS THOMASI,7
11,1986,19,18.4964242,K45,MESOCYCLOPS EDAX,7
16249,1986,19,36.99284839,K45,DAPHNIA (DAPHNIA) PULICARIA,7
1,1986,19,122.6366888,S15,EUBOSMINA (EUBOSMINA) COREGONI,7
2,1986,19,245.2733776,S15,LEPTODIAPTOMUS MINUTUS,7
3,1986,19,1185.487992,S15,LEPTODIAPTOMUS SICILIS,7
4,1986,19,899.3357179,S15,DIACYCLOPS BICUSPIDATUS THOMASI,7
16250,1986,19,204.3944813,S15,DAPHNIA (DAPHNIA) PULICARIA,7
28,1986,19,364.8037356,C6,BOSMINA (BOSMINA) LONGIROSTRIS,7
29,1986,19,121.6012452,C6,EUBOSMINA (EUBOSMINA) COREGONI,7
30,1986,19,608.006226,C6,DIACYCLOPS BICUSPIDATUS THOMASI,7
19,1986,19,51.12964561,C9,DAPHNIA (HYALODAPHNIA) GALEATA MENDOTAE,7
20,1986,19,102.2592912,C9,LEPTODIAPTOMUS SICILIS,7
21,1986,19,818.0743297,C9,DIACYCLOPS BICUSPIDATUS THOMASI,7
25,1986,19,320.9336251,K39,LEPTODIAPTOMUS SICILIS,7
26,1986,19,160.4668125,K39,DIACYCLOPS BICUSPIDATUS THOMASI,7
27,1986,19,29.1757841,K39,TROPOCYCLOPS PRASINUS PRASINUS,7
16251,1986,19,14.58789205,K39,DAPHNIA (DAPHNIA) PULICARIA,7
22,1986,19,705.1891682,K42,LEPTODIAPTOMUS SICILIS,7
23,1986,19,367.9247834,K42,DIACYCLOPS BICUSPIDATUS THOMASI,7
24,1986,19,15.33019931,K42,TROPOCYCLOPS PRASINUS PRASINUS,7
16252,1986,19,15.33019931,K42,DAPHNIA (DAPHNIA) PULICARIA,7
31,1986,21,1208.361864,C6,BOSMINA (BOSMINA) LONGIROSTRIS,7
32,1986,21,201.393644,C6,DAPHNIA (DAPHNIA) RETROCURVA,7
33,1986,21,201.393644,C6,EUBOSMINA (EUBOSMINA) COREGONI,7
34,1986,21,805.5745761,C6,DAPHNIA SP.,7
35,1986,21,201.393644,C6,DIACYCLOPS BICUSPIDATUS THOMASI,7
16253,1986,21,805.5745761,C6,DAPHNIA (DAPHNIA) PULICARIA,7
36,1986,21,209.0082558,C9,BOSMINA (BOSMINA) LONGIROSTRIS,7
37,1986,21,209.0082558,C9,DAPHNIA (DAPHNIA) RETROCURVA,7
38,1986,21,209.0082558,C9,EUBOSMINA (EUBOSMINA) COREGONI,7
39,1986,21,418.0165117,C9,LEPTODIAPTOMUS MINUTUS,7
40,1986,21,836.0330233,C9,LEPTODIAPTOMUS SICILIS,7
41,1986,21,209.0082558,C9,DIACYCLOPS BICUSPIDATUS THOMASI,7
42,1986,21,209.0082558,C9,TROPOCYCLOPS PRASINUS PRASINUS,7
16254,1986,21,7733.305466,C9,DAPHNIA (DAPHNIA) PULICARIA,7
56,1986,21,102.5682053,E51,BOSMINA (BOSMINA) LONGIROSTRIS,7
57,1986,21,205.1364106,E51,LEPTODIAPTOMUS MINUTUS,7
58,1986,21,410.2728212,E51,LEPTODIAPTOMUS SICILIS,7
59,1986,21,820.5456423,E51,DIACYCLOPS BICUSPIDATUS THOMASI,7
60,1986,21,307.7046159,E51,MESOCYCLOPS EDAX,7
16255,1986,21,2564.205132,E51,DAPHNIA (DAPHNIA) PULICARIA,7
43,1986,21,257.168574,K39,EUBOSMINA (EUBOSMINA) COREGONI,7
44,1986,21,428.61429,K39,LEPTODIAPTOMUS SICILIS,7
45,1986,21,600.060006,K39,DIACYCLOPS BICUSPIDATUS THOMASI,7
46,1986,21,85.722858,K39,MESOCYCLOPS EDAX,7
16256,1986,21,1714.45716,K39,DAPHNIA (DAPHNIA) PULICARIA,7
47,1986,21,75.22190462,K42,DAPHNIA (DAPHNIA) RETROCURVA,7
48,1986,21,150.4438092,K42,EUBOSMINA (EUBOSMINA) COREGONI,7
49,1986,21,75.22190462,K42,LEPTODIAPTOMUS MINUTUS,7
50,1986,21,376.1095231,K42,LEPTODIAPTOMUS SICILIS,7
51,1986,21,451.3314277,K42,DIACYCLOPS BICUSPIDATUS THOMASI,7
16257,1986,21,1880.547615,K42,DAPHNIA (DAPHNIA) PULICARIA,7
52,1986,21,248.447205,K45,BOSMINA (BOSMINA) LONGIROSTRIS,7
53,1986,21,1366.459627,K45,LEPTODIAPTOMUS SICILIS,7
54,1986,21,372.6708075,K45,DIACYCLOPS BICUSPIDATUS THOMASI,7
55,1986,21,124.2236025,K45,TROPOCYCLOPS PRASINUS PRASINUS,7
16258,1986,21,869.5652174,K45,DAPHNIA (DAPHNIA) PULICARIA,7
61,1986,21,167.539267,S15,EUBOSMINA (EUBOSMINA) COREGONI,7
62,1986,21,335.078534,S15,LEPTODIAPTOMUS MINUTUS,7
63,1986,21,1005.235602,S15,LEPTODIAPTOMUS SICILIS,7
64,1986,21,1005.235602,S15,DIACYCLOPS BICUSPIDATUS THOMASI,7
65,1986,21,167.539267,S15,TROPOCYCLOPS PRASINUS PRASINUS,7
16259,1986,21,335.078534,S15,DAPHNIA (DAPHNIA) PULICARIA,7
66,1986,24,3618.711386,C6,BOSMINA (BOSMINA) LONGIROSTRIS,7
67,1986,24,176.5225066,C6,CHYDORUS SPHAERICUS,7
68,1986,24,264.7837599,C6,DAPHNIA (DAPHNIA) RETROCURVA,7
69,1986,24,706.0900265,C6,EUBOSMINA (EUBOSMINA) COREGONI,7
70,1986,24,264.7837599,C6,DIACYCLOPS BICUSPIDATUS THOMASI,7
71,1986,24,88.26125331,C6,ACANTHOCYCLOPS VERNALIS COMPLEX,7
72,1986,24,88.26125331,C6,MESOCYCLOPS EDAX,7
16260,1986,24,1500.441306,C6,DAPHNIA (DAPHNIA) PULICARIA,7
73,1986,24,1096.516276,C9,BOSMINA (BOSMINA) LONGIROSTRIS,7
74,1986,24,91.37635637,C9,DAPHNIA (HYALODAPHNIA) GALEATA MENDOTAE,7
75,1986,24,456.8817818,C9,DAPHNIA (DAPHNIA) RETROCURVA,7
76,1986,24,913.7635637,C9,EUBOSMINA (EUBOSMINA) COREGONI,7
77,1986,24,182.7527127,C9,LEPTODIAPTOMUS MINUTUS,7
78,1986,24,91.37635637,C9,LEPTODIAPTOMUS SICILIS,7
79,1986,24,91.37635637,C9,EPISCHURA LACUSTRIS COPEPODID,7
80,1986,24,91.37635637,C9,DIACYCLOPS BICUSPIDATUS THOMASI,7
81,1986,24,91.37635637,C9,MESOCYCLOPS EDAX,7
16261,1986,24,4477.441462,C9,DAPHNIA (DAPHNIA) PULICARIA,7
92,1986,24,672.2689076,E51,BOSMINA (BOSMINA) LONGIROSTRIS,7
93,1986,24,672.2689076,E51,EUBOSMINA (EUBOSMINA) COREGONI,7
94,1986,24,134.4537815,E51,LEPTODIAPTOMUS SICILIS,7
95,1986,24,134.4537815,E51,EPISCHURA LACUSTRIS,7
96,1986,24,268.907563,E51,DIACYCLOPS BICUSPIDATUS THOMASI,7
97,1986,24,134.4537815,E51,MESOCYCLOPS EDAX,7
16262,1986,24,5109.243697,E51,DAPHNIA (DAPHNIA) PULICARIA,7
82,1986,24,171.3306682,K39,BOSMINA (BOSMINA) LONGIROSTRIS,7
83,1986,24,114.2204455,K39,EUBOSMINA (EUBOSMINA) COREGONI,7
84,1986,24,456.8817818,K39,DIACYCLOPS BICUSPIDATUS THOMASI,7
16263,1986,24,1484.865791,K39,DAPHNIA (DAPHNIA) PULICARIA,7
85,1986,24,127.8772379,K42,BOSMINA (BOSMINA) LONGIROSTRIS,7
86,1986,24,127.8772379,K42,EUBOSMINA (EUBOSMINA) COREGONI,7
87,1986,24,191.8158568,K42,DIACYCLOPS BICUSPIDATUS THOMASI,7
16264,1986,24,2046.035806,K42,DAPHNIA (DAPHNIA) PULICARIA,7
88,1986,24,113.7495962,K45,BOSMINA (BOSMINA) LONGIROSTRIS,7
89,1986,24,227.4991924,K45,EUBOSMINA (EUBOSMINA) COREGONI,7
90,1986,24,113.7495962,K45,LEPTODIAPTOMUS SICILIS,7
91,1986,24,227.4991924,K45,DIACYCLOPS BICUSPIDATUS THOMASI,7
16265,1986,24,2957.489501,K45,DAPHNIA (DAPHNIA) PULICARIA,7
98,1986,24,286.1599048,S15,BOSMINA (BOSMINA) LONGIROSTRIS,7
99,1986,24,763.0930795,S15,EUBOSMINA (EUBOSMINA) COREGONI,7
100,1986,24,286.1599048,S15,LEPTODIAPTOMUS SICILIS,7
101,1986,24,381.5465398,S15,DIACYCLOPS BICUSPIDATUS THOMASI,7
102,1986,24,286.1599048,S15,MESOCYCLOPS EDAX,7
103,1986,24,95.38663494,S15,TROPOCYCLOPS PRASINUS PRASINUS,7
16266,1986,24,4960.105017,S15,DAPHNIA (DAPHNIA) PULICARIA,7
104,1986,27,1805.1,C6,CERIODAPHNIA LACUSTRIS,7
105,1986,27,1083,C6,DAPHNIA (HYALODAPHNIA) GALEATA MENDOTAE,7
106,1986,27,12996.4,C6,DAPHNIA (DAPHNIA) RETROCURVA,7
107,1986,27,7581.2,C6,EUBOSMINA (EUBOSMINA) COREGONI,7
108,1986,27,22382.7,C6,BOSMINA (BOSMINA) LONGIROSTRIS,7
109,1986,27,361,C6,LEPTODIAPTOMUS MINUTUS,7
110,1986,27,722,C6,SKISTODIAPTOMUS OREGONENSIS,7
111,1986,27,1805.1,C6,DIACYCLOPS BICUSPIDATUS THOMASI,7
112,1986,27,722,C6,MESOCYCLOPS EDAX,7
16267,1986,27,2527.1,C6,DAPHNIA (DAPHNIA) PULICARIA,7
140,1986,27,228.9901534,C9,DAPHNIA (DAPHNIA) RETROCURVA,7
141,1986,27,5129.426334,C9,EUBOSMINA (EUBOSMINA) COREGONI,7
142,1986,27,2407.689912,C9,BOSMINA (BOSMINA) LONGIROSTRIS,7
143,1986,27,942.1395308,C9,LEPTODIAPTOMUS MINUTUS,7
144,1986,27,137.3940921,C9,SKISTODIAPTOMUS OREGONENSIS,7
145,1986,27,45.79803068,C9,EPISCHURA LACUSTRIS,7
146,1986,27,2198.325572,C9,DIACYCLOPS BICUSPIDATUS THOMASI,7
147,1986,27,137.3940921,C9,MESOCYCLOPS EDAX,7
16268,1986,27,6804.341056,C9,DAPHNIA (DAPHNIA) PULICARIA,7
113,1986,27,171.2,E51,CHYDORUS SPHAERICUS,7
114,1986,27,171.2,E51,DAPHNIA (DAPHNIA) RETROCURVA,7
115,1986,27,1712.3,E51,EUBOSMINA (EUBOSMINA) COREGONI,7
116,1986,27,171.2,E51,BOSMINA (BOSMINA) LONGIROSTRIS,7
117,1986,27,1027.4,E51,LEPTODIAPTOMUS MINUTUS,7
118,1986,27,85.6,E51,SKISTODIAPTOMUS OREGONENSIS,7
119,1986,27,85.6,E51,DIACYCLOPS BICUSPIDATUS THOMASI,7
16269,1986,27,1284.2,E51,DAPHNIA (DAPHNIA) PULICARIA,7
120,1986,27,156.2,K39,CHYDORUS SPHAERICUS,7
121,1986,27,3749.3,K39,EUBOSMINA (EUBOSMINA) COREGONI,7
122,1986,27,1093.5,K39,BOSMINA (BOSMINA) LONGIROSTRIS,7
123,1986,27,937.3,K39,DIACYCLOPS BICUSPIDATUS THOMASI,7
124,1986,27,156.2,K39,MESOCYCLOPS EDAX,7
16270,1986,27,6092.6,K39,DAPHNIA (DAPHNIA) PULICARIA,7
148,1986,27,52.72871078,K42,CHYDORUS SPHAERICUS,7
149,1986,27,1757.623693,K42,EUBOSMINA (EUBOSMINA) COREGONI,7
150,1986,27,1476.403902,K42,BOSMINA (BOSMINA) LONGIROSTRIS,7
151,1986,27,52.72871078,K42,LEPTODIAPTOMUS MINUTUS,7
152,1986,27,52.72871078,K42,LEPTODIAPTOMUS SICILIS,7
153,1986,27,2390.368222,K42,DIACYCLOPS BICUSPIDATUS THOMASI,7
154,1986,27,421.8296863,K42,MESOCYCLOPS EDAX,7
16271,1986,27,5413.480974,K42,DAPHNIA (DAPHNIA) PULICARIA,7
125,1986,27,63.6,K45,CERIODAPHNIA SP.,7
126,1986,27,190.8,K45,CHYDORUS SPHAERICUS,7
127,1986,27,572.5,K45,EUBOSMINA (EUBOSMINA) COREGONI,7
128,1986,27,699.7,K45,BOSMINA (BOSMINA) LONGIROSTRIS,7
129,1986,27,63.6,K45,LEPTODIAPTOMUS MINUTUS,7
130,1986,27,63.6,K45,SKISTODIAPTOMUS OREGONENSIS,7
131,1986,27,1272.3,K45,DIACYCLOPS BICUSPIDATUS THOMASI,7
132,1986,27,190.8,K45,MESOCYCLOPS EDAX,7
16272,1986,27,2926.2,K45,DAPHNIA (DAPHNIA) PULICARIA,7
133,1986,27,2959.9,S15,EUBOSMINA (EUBOSMINA) COREGONI,7
134,1986,27,1151.1,S15,BOSMINA (BOSMINA) LONGIROSTRIS,7
135,1986,27,328.9,S15,LEPTODIAPTOMUS MINUTUS,7
136,1986,27,164.4,S15,SKISTODIAPTOMUS OREGONENSIS,7
137,1986,27,822.2,S15,DIACYCLOPS BICUSPIDATUS THOMASI,7
138,1986,27,164.4,S15,ACANTHOCYCLOPS VERNALIS COMPLEX,7
139,1986,27,164.4,S15,MESOCYCLOPS EDAX,7
16273,1986,27,12826.3,S15,DAPHNIA (DAPHNIA) PULICARIA,7
202,1986,32,434,C6,CERIODAPHNIA LACUSTRIS,7
203,1986,32,2386.8,C6,DAPHNIA (HYALODAPHNIA) GALEATA MENDOTAE,7
204,1986,32,7160.3,C6,DAPHNIA (DAPHNIA) RETROCURVA,7
205,1986,32,10198,C6,EUBOSMINA (EUBOSMINA) COREGONI,7
206,1986,32,434,C6,DIAPHANOSOMA BIRGEI,7
207,1986,32,1084.9,C6,BOSMINA (BOSMINA) LONGIROSTRIS,7
208,1986,32,867.9,C6,LEPTODIAPTOMUS MINUTUS,7
209,1986,32,867.9,C6,SKISTODIAPTOMUS OREGONENSIS,7
210,1986,32,4990.5,C6,MESOCYCLOPS EDAX,7
16280,1986,32,867.9,C6,DAPHNIA (DAPHNIA) PULICARIA,7
211,1986,32,405.7,C9,DAPHNIA (HYALODAPHNIA) GALEATA MENDOTAE,7
212,1986,32,1521.3,C9,DAPHNIA (DAPHNIA) RETROCURVA,7
213,1986,32,2535.5,C9,EUBOSMINA (EUBOSMINA) COREGONI,7
214,1986,32,101.4,C9,LEPTODORA KINDTII,7
215,1986,32,1622.7,C9,BOSMINA (BOSMINA) LONGIROSTRIS,7
216,1986,32,1014.2,C9,LEPTODIAPTOMUS MINUTUS,7
217,1986,32,202.8,C9,SKISTODIAPTOMUS OREGONENSIS,7
218,1986,32,608.5,C9,DIACYCLOPS BICUSPIDATUS THOMASI,7
219,1986,32,1014.2,C9,MESOCYCLOPS EDAX,7
16281,1986,32,507.1,C9,DAPHNIA (DAPHNIA) PULICARIA,7
220,1986,32,689.8,E51,DAPHNIA (HYALODAPHNIA) GALEATA MENDOTAE,7
221,1986,32,197.1,E51,DAPHNIA (DAPHNIA) RETROCURVA,7
222,1986,32,886.8,E51,EUBOSMINA (EUBOSMINA) COREGONI,7
223,1986,32,98.5,E51,HOLOPEDIUM GIBBERUM,7
224,1986,32,591.2,E51,BOSMINA (BOSMINA) LONGIROSTRIS,7
225,1986,32,886.8,E51,LEPTODIAPTOMUS MINUTUS,7
226,1986,32,542,E51,MESOCYCLOPS EDAX,7
16282,1986,32,1822.9,E51,DAPHNIA (DAPHNIA) PULICARIA,7
227,1986,32,28.6,K39,CHYDORUS SPHAERICUS,7
228,1986,32,114.6,K39,DAPHNIA (HYALODAPHNIA) GALEATA MENDOTAE,7
229,1986,32,257.8,K39,DAPHNIA (DAPHNIA) RETROCURVA,7
230,1986,32,859.4,K39,EUBOSMINA (EUBOSMINA) COREGONI,7
231,1986,32,544.3,K39,BOSMINA (BOSMINA) LONGIROSTRIS,7
232,1986,32,286.5,K39,LEPTODIAPTOMUS MINUTUS,7
233,1986,32,114.6,K39,SKISTODIAPTOMUS OREGONENSIS,7
234,1986,32,171.9,K39,DIACYCLOPS BICUSPIDATUS THOMASI,7
235,1986,32,286.5,K39,MESOCYCLOPS EDAX,7
16283,1986,32,429.7,K39,DAPHNIA (DAPHNIA) PULICARIA,7
236,1986,32,14.8,K42,CHYDORUS SPHAERICUS,7
237,1986,32,73.8,K42,DAPHNIA (HYALODAPHNIA) GALEATA MENDOTAE,7
238,1986,32,103.3,K42,DAPHNIA (DAPHNIA) RETROCURVA,7
239,1986,32,309.8,K42,EUBOSMINA (EUBOSMINA) COREGONI,7
240,1986,32,501.6,K42,BOSMINA (BOSMINA) LONGIROSTRIS,7
241,1986,32,29.5,K42,LEPTODIAPTOMUS MINUTUS,7
242,1986,32,103.3,K42,DIACYCLOPS BICUSPIDATUS THOMASI,7
243,1986,32,44.3,K42,MESOCYCLOPS EDAX,7
16284,1986,32,88.5,K42,DAPHNIA (DAPHNIA) PULICARIA,7
244,1986,32,447.9,K45,DAPHNIA (HYALODAPHNIA) GALEATA MENDOTAE,7
245,1986,32,410.6,K45,DAPHNIA (DAPHNIA) RETROCURVA,7
246,1986,32,783.9,K45,EUBOSMINA (EUBOSMINA) COREGONI,7
247,1986,32,37.3,K45,HOLOPEDIUM GIBBERUM,7
248,1986,32,1082.5,K45,BOSMINA (BOSMINA) LONGIROSTRIS,7
249,1986,32,149.3,K45,LEPTODIAPTOMUS MINUTUS,7
250,1986,32,149.3,K45,SKISTODIAPTOMUS OREGONENSIS,7
251,1986,32,37.3,K45,EPISCHURA LACUSTRIS,7
252,1986,32,224,K45,DIACYCLOPS BICUSPIDATUS THOMASI,7
253,1986,32,224,K45,MESOCYCLOPS EDAX,7
16285,1986,32,858.5,K45,DAPHNIA (DAPHNIA) PULICARIA,7
254,1986,32,181.5,S15,CERIODAPHNIA LACUSTRIS,7
255,1986,32,816.7,S15,DAPHNIA (HYALODAPHNIA) GALEATA MENDOTAE,7
256,1986,32,363,S15,DAPHNIA (DAPHNIA) RETROCURVA,7
257,1986,32,1633.4,S15,EUBOSMINA (EUBOSMINA) COREGONI,7
258,1986,32,1724.1,S15,BOSMINA (BOSMINA) LONGIROSTRIS,7
259,1986,32,726,S15,LEPTODIAPTOMUS MINUTUS,7
260,1986,32,181.5,S15,SKISTODIAPTOMUS OREGONENSIS,7
261,1986,32,90.7,S15,DIACYCLOPS BICUSPIDATUS THOMASI,7
262,1986,32,907.4,S15,MESOCYCLOPS EDAX,7
263,1986,32,181.5,S15,TROPOCYCLOPS PRASINUS PRASINUS,7
16286,1986,32,1451.9,S15,DAPHNIA (DAPHNIA) PULICARIA,7
264,1986,34,246.3300517,C6,CERIODAPHNIA SP.,7
265,1986,34,11577.51243,C6,DAPHNIA (HYALODAPHNIA) GALEATA MENDOTAE,7
266,1986,34,10592.19222,C6,DAPHNIA (DAPHNIA) RETROCURVA,7
267,1986,34,1477.98031,C6,EUBOSMINA (EUBOSMINA) COREGONI,7
